NAME,Precinct_Long_Name
1632100000001,"City of Dearborn, Precinct 1"
1632100000002,"City of Dearborn, Precinct 2"
1632100000003,"City of Dearborn, Precinct 3"
1632100000004,"City of Dearborn, Precinct 4"
1632100000006,"City of Dearborn, Precinct 6"
1632100000007,"City of Dearborn, Precinct 7"
1632100000008,"City of Dearborn, Precinct 8"
1632100000009,"City of Dearborn, Precinct 9"
1632100000010,"City of Dearborn, Precinct 10"
1632100000011,"City of Dearborn, Precinct 11"
1632100000012,"City of Dearborn, Precinct 12"
1632100000013,"City of Dearborn, Precinct 13"
1632100000015,"City of Dearborn, Precinct 15"
1632100000016,"City of Dearborn, Precinct 16"
1632100000018,"City of Dearborn, Precinct 18"
1632100000019,"City of Dearborn, Precinct 19"
1632100000020,"City of Dearborn, Precinct 20"
1632100000021,"City of Dearborn, Precinct 21"
1632100000022,"City of Dearborn, Precinct 22"
1632100000023,"City of Dearborn, Precinct 23"
1632100000024,"City of Dearborn, Precinct 24"
1632100000025,"City of Dearborn, Precinct 25"
1632100000026,"City of Dearborn, Precinct 26"
1632100000027,"City of Dearborn, Precinct 27"
1632100000030,"City of Dearborn, Precinct 30"
1632100000033,"City of Dearborn, Precinct 33"
1632100000034,"City of Dearborn, Precinct 34"
1632100000035,"City of Dearborn, Precinct 35"
1632100000036,"City of Dearborn, Precinct 36"
1632100000037,"City of Dearborn, Precinct 37"
1632100000040,"City of Dearborn, Precinct 40"
1632100000041,"City of Dearborn, Precinct 41"
1632100000042,"City of Dearborn, Precinct 42"
1632100000043,"City of Dearborn, Precinct 43"
1632100000044,"City of Dearborn, Precinct 44"
1632100000045,"City of Dearborn, Precinct 45"
1632100000046,"City of Dearborn, Precinct 46"
1632100000047,"City of Dearborn, Precinct 47"
1632100000048,"City of Dearborn, Precinct 48"
1632100000049,"City of Dearborn, Precinct 49"
1632100000005,"City of Dearborn, Precinct 5"
1632100000017,"City of Dearborn, Precinct 17"
1632100000028,"City of Dearborn, Precinct 28"
1632100000029,"City of Dearborn, Precinct 29"
1632100000031,"City of Dearborn, Precinct 31"
1632100000032,"City of Dearborn, Precinct 32"
1632100000038,"City of Dearborn, Precinct 38"
1632100000050,"City of Dearborn, Precinct 50"
