Precinct Name,Vote Type,Jamal Votes,Amer Votes,Robin Votes,Total Votes
"City of Dearborn, Precinct 1",Early Voting,92,25,8,170
"City of Dearborn, Precinct 1",Election Day,400,167,16,768
"City of Dearborn, Precinct 1",Absentee,46,20,15,139
"City of Dearborn, Precinct 1",Total,538,212,39,1077
"City of Dearborn, Precinct 2",Early Voting,92,27,8,169
"City of Dearborn, Precinct 2",Election Day,326,158,27,732
"City of Dearborn, Precinct 2",Absentee,38,21,16,149
"City of Dearborn, Precinct 2",Total,456,206,51,1050
"City of Dearborn, Precinct 3",Early Voting,102,43,9,214
"City of Dearborn, Precinct 3",Election Day,395,242,53,1032
"City of Dearborn, Precinct 3",Absentee,61,33,20,240
"City of Dearborn, Precinct 3",Total,558,318,82,1486
"City of Dearborn, Precinct 4",Early Voting,36,13,2,90
"City of Dearborn, Precinct 4",Election Day,215,111,20,522
"City of Dearborn, Precinct 4",Absentee,23,19,21,112
"City of Dearborn, Precinct 4",Total,274,143,43,724
"City of Dearborn, Precinct 5",Early Voting,37,13,6,78
"City of Dearborn, Precinct 5",Election Day,207,158,13,621
"City of Dearborn, Precinct 5",Absentee,24,23,7,109
"City of Dearborn, Precinct 5",Total,268,194,26,808
"City of Dearborn, Precinct 6",Early Voting,92,27,6,185
"City of Dearborn, Precinct 6",Election Day,389,181,29,836
"City of Dearborn, Precinct 6",Absentee,44,24,13,161
"City of Dearborn, Precinct 6",Total,525,232,48,1182
"City of Dearborn, Precinct 7",Early Voting,108,34,7,228
"City of Dearborn, Precinct 7",Election Day,503,246,26,1056
"City of Dearborn, Precinct 7",Absentee,52,49,21,208
"City of Dearborn, Precinct 7",Total,663,329,54,1492
"City of Dearborn, Precinct 8",Early Voting,59,21,10,127
"City of Dearborn, Precinct 8",Election Day,313,146,20,676
"City of Dearborn, Precinct 8",Absentee,50,26,4,145
"City of Dearborn, Precinct 8",Total,422,193,34,948
"City of Dearborn, Precinct 9",Early Voting,73,15,7,127
"City of Dearborn, Precinct 9",Election Day,301,181,21,734
"City of Dearborn, Precinct 9",Absentee,28,19,13,126
"City of Dearborn, Precinct 9",Total,402,215,41,987
"City of Dearborn, Precinct 10",Early Voting,73,28,12,156
"City of Dearborn, Precinct 10",Election Day,252,143,23,570
"City of Dearborn, Precinct 10",Absentee,35,12,22,138
"City of Dearborn, Precinct 10",Total,370,183,57,864
"City of Dearborn, Precinct 11",Early Voting,62,32,4,132
"City of Dearborn, Precinct 11",Election Day,307,127,18,611
"City of Dearborn, Precinct 11",Absentee,22,11,3,76
"City of Dearborn, Precinct 11",Total,391,170,25,819
"City of Dearborn, Precinct 12",Early Voting,84,25,11,175
"City of Dearborn, Precinct 12",Election Day,319,125,23,662
"City of Dearborn, Precinct 12",Absentee,45,28,28,212
"City of Dearborn, Precinct 12",Total,448,178,62,1049
"City of Dearborn, Precinct 13",Early Voting,0,3,3,11
"City of Dearborn, Precinct 13",Election Day,7,9,42,175
"City of Dearborn, Precinct 13",Absentee,17,21,65,266
"City of Dearborn, Precinct 13",Total,24,33,110,452
"City of Dearborn, Precinct 15",Early Voting,114,13,8,196
"City of Dearborn, Precinct 15",Election Day,415,130,37,765
"City of Dearborn, Precinct 15",Absentee,71,17,30,217
"City of Dearborn, Precinct 15",Total,600,160,75,1178
"City of Dearborn, Precinct 16",Early Voting,105,20,7,203
"City of Dearborn, Precinct 16",Election Day,337,117,22,670
"City of Dearborn, Precinct 16",Absentee,60,23,33,265
"City of Dearborn, Precinct 16",Total,502,160,62,1138
"City of Dearborn, Precinct 17",Early Voting,103,36,29,276
"City of Dearborn, Precinct 17",Election Day,327,152,59,850
"City of Dearborn, Precinct 17",Absentee,59,29,34,275
"City of Dearborn, Precinct 17",Total,489,217,122,1401
"City of Dearborn, Precinct 18",Early Voting,156,39,19,336
"City of Dearborn, Precinct 18",Election Day,539,142,19,927
"City of Dearborn, Precinct 18",Absentee,94,19,32,328
"City of Dearborn, Precinct 18",Total,789,200,70,1591
"City of Dearborn, Precinct 19",Early Voting,90,13,12,161
"City of Dearborn, Precinct 19",Election Day,337,116,13,595
